14840KMKG MKG20050401060009604/01/05 06:00:31  5-MIN KMKG 011100Z 00000KT 10SM CLR M01/M02 A3009 470 92 -1200 000/00 RMK AO2
14840KMKG MKG20050401060509504/01/05 06:05:31  5-MIN KMKG 011105Z 00000KT 9SM CLR M01/M01 A3009 470 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401061009604/01/05 06:10:31  5-MIN KMKG 011110Z 00000KT 10SM CLR M01/M01 A3010 470 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401061509604/01/05 06:15:31  5-MIN KMKG 011115Z 00000KT 10SM CLR M01/M01 A3010 470 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401062009604/01/05 06:20:31  5-MIN KMKG 011120Z 00000KT 10SM CLR M01/M01 A3010 470 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401062509604/01/05 06:25:31  5-MIN KMKG 011125Z 00000KT 10SM CLR M01/M02 A3010 460 92 -1200 000/00 RMK AO2
14840KMKG MKG20050401063009504/01/05 06:30:31  5-MIN KMKG 011130Z 00000KT 9SM CLR M01/M02 A3010 460 92 -1300 000/00 RMK AO2
14840KMKG MKG20050401063509504/01/05 06:35:31  5-MIN KMKG 011135Z 00000KT 8SM CLR M02/M02 A3010 460 96 -1400 000/00 RMK AO2
14840KMKG MKG20050401064009504/01/05 06:40:31  5-MIN KMKG 011140Z 00000KT 7SM CLR M01/M02 A3010 470 92 -1300 000/00 RMK AO2
14840KMKG MKG20050401064509504/01/05 06:45:31  5-MIN KMKG 011145Z 00000KT 7SM CLR M01/M02 A3010 470 96 -1300 000/00 RMK AO2
14840KMKG MKG20050401065013604/01/05 06:50:31  5-MIN KMKG 011150Z 00000KT 7SM CLR M01/M02 A3010 470 96 -1300 000/00 RMK AO2 SLP198 70004 T10111017 10056 21017 51010
14840KMKG MKG20050401065513604/01/05 06:55:31  5-MIN KMKG 011155Z 00000KT 7SM CLR M01/M02 A3010 470 96 -1300 000/00 RMK AO2 SLP199 70004 T10111017 10056 21017 53010
14840KMKG MKG20050401070009504/01/05 07:00:31  5-MIN KMKG 011200Z 00000KT 7SM CLR M01/M02 A3010 460 92 -1300 000/00 RMK AO2
14840KMKG MKG20050401070509504/01/05 07:05:31  5-MIN KMKG 011205Z 00000KT 7SM CLR M01/M02 A3011 460 96 -1300 000/00 RMK AO2
14840KMKG MKG20050401071009504/01/05 07:10:31  5-MIN KMKG 011210Z 00000KT 7SM CLR M01/M02 A3011 460 92 -1200 000/00 RMK AO2
14840KMKG MKG20050401071509504/01/05 07:15:31  5-MIN KMKG 011215Z 00000KT 7SM CLR M01/M02 A3011 460 92 -1200 000/00 RMK AO2
14840KMKG MKG20050401072009504/01/05 07:20:31  5-MIN KMKG 011220Z 00000KT 8SM CLR M01/M01 A3011 460 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401072509504/01/05 07:25:31  5-MIN KMKG 011225Z 00000KT 9SM CLR 00/M01 A3011 460 96  -1200 000/00 RMK AO2
14840KMKG MKG20050401073009504/01/05 07:30:31  5-MIN KMKG 011230Z 16003KT 9SM CLR 00/M01 A3011 450 96  -1200 160/03 RMK AO2
14840KMKG MKG20050401073509504/01/05 07:35:31  5-MIN KMKG 011235Z 00000KT 8SM CLR 00/M01 A3011 450 96  -1200 000/00 RMK AO2
14840KMKG MKG20050401074009504/01/05 07:40:31  5-MIN KMKG 011240Z 00000KT 8SM CLR 00/M01 A3011 450 96  -1200 000/00 RMK AO2
14840KMKG MKG20050401074509504/01/05 07:45:31  5-MIN KMKG 011245Z 00000KT 8SM CLR 00/M01 A3011 450 96  -1200 000/00 RMK AO2
14840KMKG MKG20050401075011204/01/05 07:50:31  5-MIN KMKG 011250Z 00000KT 8SM CLR 00/M01 A3011 450 96  -1200 000/00 RMK AO2 SLP203 T00001006
14840KMKG MKG20050401075511204/01/05 07:55:31  5-MIN KMKG 011255Z 00000KT 8SM CLR 01/M01 A3011 450 92  -1100 000/00 RMK AO2 SLP203 T00061006
14840KMKG MKG20050401080009404/01/05 08:00:31  5-MIN KMKG 011300Z 00000KT 9SM CLR 01/00 A3011 450 96  -1100 000/00 RMK AO2
14840KMKG MKG20050401080509404/01/05 08:05:31  5-MIN KMKG 011305Z 00000KT 9SM CLR 01/00 A3011 450 92  -1000 000/00 RMK AO2
14840KMKG MKG20050401081009404/01/05 08:10:31  5-MIN KMKG 011310Z 00000KT 9SM CLR 02/01 A3011 450 92  -1000 000/00 RMK AO2
14840KMKG MKG20050401081509304/01/05 08:15:31  5-MIN KMKG 011315Z 00000KT 9SM CLR 02/01 A3011 450 92  -900 000/00 RMK AO2
14840KMKG MKG20050401082009404/01/05 08:20:31  5-MIN KMKG 011320Z 00000KT 10SM CLR 03/02 A3011 450 92  -800 000/00 RMK AO2
14840KMKG MKG20050401082509404/01/05 08:25:31  5-MIN KMKG 011325Z 00000KT 10SM CLR 03/02 A3011 450 92  -800 000/00 RMK AO2
14840KMKG MKG20050401083009404/01/05 08:30:31  5-MIN KMKG 011330Z 00000KT 10SM CLR 04/02 A3011 450 89  -700 000/00 RMK AO2
14840KMKG MKG20050401083509404/01/05 08:35:31  5-MIN KMKG 011335Z 21003KT 10SM CLR 04/03 A3011 450 89  -600 220/03 RMK AO2
14840KMKG MKG20050401084009404/01/05 08:40:31  5-MIN KMKG 011340Z 20003KT 10SM CLR 05/03 A3011 460 85  -600 200/03 RMK AO2
14840KMKG MKG20050401084509404/01/05 08:45:31  5-MIN KMKG 011345Z 22003KT 10SM CLR 05/03 A3011 460 85  -600 220/03 RMK AO2
14840KMKG MKG20050401085011104/01/05 08:50:31  5-MIN KMKG 011350Z 22004KT 10SM CLR 05/02 A3011 460 82  -500 220/04 RMK AO2 SLP199 T00500022
14840KMKG MKG20050401085511104/01/05 08:55:31  5-MIN KMKG 011355Z 22003KT 10SM CLR 05/02 A3010 460 82  -500 220/03 RMK AO2 SLP199 T00500022
14840KMKG MKG20050401090009404/01/05 09:00:31  5-MIN KMKG 011400Z 22004KT 10SM CLR 06/03 A3010 460 82  -500 220/04 RMK AO2
14840KMKG MKG20050401090509404/01/05 09:05:31  5-MIN KMKG 011405Z 21004KT 10SM CLR 06/02 A3010 460 76  -400 220/04 RMK AO2
14840KMKG MKG20050401091009404/01/05 09:10:31  5-MIN KMKG 011410Z 21003KT 10SM CLR 06/02 A3010 460 76  -400 210/03 RMK AO2
14840KMKG MKG20050401091509404/01/05 09:15:31  5-MIN KMKG 011415Z 00000KT 10SM CLR 06/02 A3010 460 76  -400 000/00 RMK AO2
14840KMKG MKG20050401092009404/01/05 09:20:31  5-MIN KMKG 011420Z 00000KT 10SM CLR 07/02 A3010 460 73  -300 000/00 RMK AO2
14840KMKG MKG20050401092509404/01/05 09:25:31  5-MIN KMKG 011425Z 00000KT 10SM CLR 07/03 A3011 460 73  -300 000/00 RMK AO2
14840KMKG MKG20050401093009404/01/05 09:30:31  5-MIN KMKG 011430Z 00000KT 10SM CLR 07/03 A3010 460 73  -300 000/00 RMK AO2
14840KMKG MKG20050401093509404/01/05 09:35:31  5-MIN KMKG 011435Z 00000KT 10SM CLR 07/03 A3010 460 73  -300 000/00 RMK AO2
14840KMKG MKG20050401094009404/01/05 09:40:31  5-MIN KMKG 011440Z 00000KT 10SM CLR 08/03 A3010 460 70  -200 000/00 RMK AO2
14840KMKG MKG20050401094509404/01/05 09:45:31  5-MIN KMKG 011445Z 00000KT 10SM CLR 08/03 A3010 460 68  -100 000/00 RMK AO2
14840KMKG MKG20050401095011704/01/05 09:50:31  5-MIN KMKG 011450Z 00000KT 10SM CLR 09/03 A3010 460 65  -100 000/00 RMK AO2 SLP198 T00890028 53010
14840KMKG MKG20050401095511704/01/05 09:55:31  5-MIN KMKG 011455Z 21004KT 10SM CLR 09/02 A3011 460 63  -100 210/04 RMK AO2 SLP199 T00890022 51003
14840KMKG MKG20050401100009004/01/05 10:00:31  5-MIN KMKG 011500Z 20004KT 10SM CLR 09/02 A3011 460 60 0 210/04 RMK AO2
