14840KMKG MKG20050601121510006/01/05 12:15:31  5-MIN KMKG 011715Z 13011G16KT 10SM CLR 27/06 A3010 470  26 2000 140/11G16 RMK AO2
14840KMKG MKG20050601122009406/01/05 12:20:31  5-MIN KMKG 011720Z 13011KT 10SM CLR 27/07 A3009 470 26  2000 130/11 RMK AO2
14840KMKG MKG20050601122509406/01/05 12:25:31  5-MIN KMKG 011725Z 10011KT 10SM CLR 27/06 A3009 470 25  2000 110/11 RMK AO2
14840KMKG MKG20050601123009406/01/05 12:30:31  5-MIN KMKG 011730Z 12010KT 10SM CLR 27/06 A3009 470 24  2000 130/10 RMK AO2
14840KMKG MKG20050601123509406/01/05 12:35:31  5-MIN KMKG 011735Z 11011KT 10SM CLR 27/06 A3009 470 24  2000 120/11 RMK AO2
14840KMKG MKG20050601124009406/01/05 12:40:31  5-MIN KMKG 011740Z 12011KT 10SM CLR 27/06 A3009 470 25  2000 120/11 RMK AO2
14840KMKG MKG20050601124509706/01/05 12:45:31  5-MIN KMKG 011745Z 13010KT 10SM FEW065 27/06 A3009 470  25 2000 140/10 RMK AO2
14840KMKG MKG20050601125013206/01/05 12:50:31  5-MIN KMKG 011750Z 11011KT 10SM FEW065 27/06 A3009 470  24 2000 120/11 RMK AO2 SLP188 T02720056 10272 20150 50001
14840KMKG MKG20050601125513206/01/05 12:55:31  5-MIN KMKG 011755Z 11012KT 10SM FEW065 27/06 A3009 470  24 2000 110/12 RMK AO2 SLP187 T02720056 10272 20150 56013
14840KMKG MKG20050601130010006/01/05 13:00:31  5-MIN KMKG 011800Z VRB06G16KT 10SM CLR 27/05 A3009 480  24 2000 VRB/06G16 RMK AO2
14840KMKG MKG20050601130509406/01/05 13:05:31  5-MIN KMKG 011805Z 06009KT 10SM CLR 28/06 A3008 480 25  2100 070/09 RMK AO2
14840KMKG MKG20050601131009406/01/05 13:10:31  5-MIN KMKG 011810Z 12010KT 10SM CLR 28/06 A3008 480 25  2100 120/10 RMK AO2
14840KMKG MKG20050601131509406/01/05 13:15:31  5-MIN KMKG 011815Z 13005KT 10SM CLR 27/06 A3008 480 25  2000 130/05 RMK AO2
14840KMKG MKG20050601132009406/01/05 13:20:31  5-MIN KMKG 011820Z 12012KT 10SM CLR 28/07 A3008 480 26  2100 120/12 RMK AO2
14840KMKG MKG20050601132509406/01/05 13:25:31  5-MIN KMKG 011825Z 11006KT 10SM CLR 27/07 A3008 490 26  2000 120/06 RMK AO2
14840KMKG MKG20050601133010006/01/05 13:30:31  5-MIN KMKG 011830Z 10010G17KT 10SM CLR 28/06 A3008 480  24 2100 100/10G17 RMK AO2
14840KMKG MKG20050601133510006/01/05 13:35:31  5-MIN KMKG 011835Z 10009G17KT 10SM CLR 27/06 A3008 490  25 2000 110/09G17 RMK AO2
14840KMKG MKG20050601134009406/01/05 13:40:31  5-MIN KMKG 011840Z 10010KT 10SM CLR 27/06 A3008 480 24  2000 100/10 RMK AO2
14840KMKG MKG20050601134511806/01/05 13:45:31  5-MIN KMKG 011845Z 08009G14KT 040V110 10SM FEW065 28/06 A3007 490 24 2100 080/09G14 040V110 RMK AO2
14840KMKG MKG20050601135012006/01/05 13:50:31  5-MIN KMKG 011850Z 13011G15KT 10SM FEW065 28/06 A3007  490 24 2100 130/11G15 RMK AO2 SLP182 T02780056
14840KMKG MKG20050601135512006/01/05 13:55:31  5-MIN KMKG 011855Z 11009G15KT 10SM FEW065 28/06 A3007  490 24 2100 120/09G15 RMK AO2 SLP181 T02780056
14840KMKG MKG20050601140010006/01/05 14:00:31  5-MIN KMKG 011900Z 10011G16KT 10SM CLR 28/06 A3007 490  24 2100 100/11G16 RMK AO2
14840KMKG MKG20050601140510006/01/05 14:05:31  5-MIN KMKG 011905Z 13007G16KT 10SM CLR 28/05 A3007 490  23 2100 140/07G16 RMK AO2
14840KMKG MKG20050601141011606/01/05 14:10:31  5-MIN KMKG 011910Z 10015G18KT 080V160 10SM CLR 28/06  A3007 490 23 2200 110/15G18 080V160 RMK AO2
14840KMKG MKG20050601141510006/01/05 14:15:31  5-MIN KMKG 011915Z 13013G18KT 10SM CLR 28/06 A3007 490  23 2200 140/13G18 RMK AO2
